SampleID,ClusterID
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,1
40,1
41,1
42,1
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,1
91,1
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,1
101,1
102,1
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,1
112,1
113,1
114,1
115,1
116,1
117,1
118,2
119,2
120,2
121,2
122,2
123,2
124,2
125,2
126,2
127,2
128,2
129,3
130,3
131,3
132,3
133,3
134,3
135,3
136,3
137,3
138,3
139,3
140,3
141,3
142,4
143,4
144,4
145,4
146,4
147,4
148,5
149,5
150,5
151,5
152,5
153,5
154,5
155,5
156,5
157,5
158,5
159,5
160,5
161,5
162,5
163,5
164,5
165,5
166,5
167,5
168,5
169,5
170,5
171,5
172,5
173,5
174,5
175,5
176,5
177,5
178,5
179,5
180,5
181,5
182,5
183,5
184,5
185,5
186,5
187,5
188,5
189,5
190,5
191,5
192,5
193,5
194,5
195,6
196,6
197,6
198,6
199,6
200,6
201,6
202,6
203,6
204,6
205,6
206,6
207,6
208,6
209,6
210,6
211,6
212,6
213,6
214,6
215,6
216,6
217,6
218,6
219,6
220,7
221,7
222,7
223,7
224,7
225,7
226,7
227,7
228,7
229,7
230,7
231,7
232,7
233,7
234,7
235,7
236,7
237,7
238,7
239,7
240,7
241,8
242,8
243,8
244,8
245,8
246,8
247,8
248,8
249,8
250,8
251,8
252,8
253,8
254,8
255,8
256,8
257,8
258,8
259,9
260,9
261,9
262,9
263,9
264,9
265,9
266,9
267,9
268,9
269,9
270,9
271,9
272,9
273,9
274,9
275,9
276,9
277,9
278,9
279,9
280,9
281,9
282,9
283,10
284,10
285,10
286,10
287,10
288,10
289,10
290,10
291,10
292,10
293,10
294,10
295,10
296,10
297,10
298,10
299,10
300,10
301,10
302,10
303,10
304,10
305,10
306,10
307,10
308,10
309,10
310,10
311,10
312,10
313,10
314,10
315,10
316,10
317,10
318,10
319,10
320,10
321,10
322,10
323,10
324,10
325,10
326,10
327,10
328,10
329,10
330,10
331,10
332,10
333,10
334,10
335,11
336,11
337,11
338,11
339,11
340,11
341,11
342,11
343,11
344,11
345,11
346,11
347,11
348,11
349,11
350,11
351,11
352,11
353,11
354,11
355,11
356,11
357,11
358,11
359,11
360,11
361,11
362,11
363,11
364,11
365,11
366,11
367,11
368,11
369,11
370,11
371,11
372,11
373,11
374,11
375,11
376,11
377,11
378,11
379,11
380,11
381,11
382,11
383,11
384,11
385,11
386,12
387,12
388,12
389,12
390,12
391,12
392,12
393,12
394,12
395,12
396,12
397,12
398,12
399,12
400,12
401,12
402,13
403,13
404,14
405,14
406,14
407,14
408,14
409,14
410,14
411,14
412,14
413,14
414,14
415,14
416,14
417,14
418,14
419,14
420,14
421,14
422,14
423,14
424,14
425,14
426,14
427,14
428,14
429,14
430,14
431,14
432,14
433,14
434,14
435,14
436,14
437,14
438,15
439,15
440,15
441,15
442,15
443,15
444,15
445,15
446,15
447,15
448,15
449,15
450,16
451,16
452,16
453,16
454,16
455,16
456,16
457,16
458,16
459,16
460,16
461,16
462,16
463,16
464,16
465,17
466,17
467,17
468,17
469,17
470,17
471,17
472,17
473,17
474,17
475,17
476,17
477,17
478,17
479,17
480,17
481,17
482,17
483,17
484,17
485,18
486,18
487,18
488,18
489,18
490,18
491,18
492,19
493,19
494,19
495,19
496,19
497,19
498,19
499,19
500,19
501,19
502,20
503,20
504,20
505,20
506,20
507,20
508,20
509,20
510,20
511,20
512,20
513,20
514,20
515,20
516,20
517,20
518,20
519,20
520,20
521,20
522,20
523,20
524,21
525,21
526,21
527,21
528,21
529,21
530,21
531,21
532,21
533,21
534,21
535,21
536,21
537,21
538,21
539,21
540,21
541,21
542,21
543,21
544,21
545,21
546,21
547,21
548,21
549,21
550,21
551,21
552,21
553,21
554,21
555,21
556,21
557,21
558,21
559,21
560,21
561,21
562,21
563,21
564,21
565,21
566,21
567,21
568,21
569,21
570,21
571,21
572,21
573,21
574,21
575,21
576,21
577,21
578,21
579,21
580,21
581,21
582,21
583,21
584,21
585,21
586,21
587,21
588,21
589,21
590,21
591,21
592,21
593,21
594,21
595,21
596,21
597,21
598,21
599,21
600,21
